Year,County,GEOID,Households,Poverty,ALICE,Above,ThresholdUnder65,Threshold65Plus
2022,Lonoke,05085,28268,3019,9805,15444,60542,53148
2023,Lonoke,05085,29388,2796,7914,18678,56057,52656
2024,Lonoke,05085,28554,2897,8220,17437,59701,52680
2010,Madison,05087,5762,1101,1516,3145,35000,30000
2012,Madison,05087,6069,1358,1784,2927,35000,30000
2014,Madison,05087,6152,1233,1558,3361,35000,35000
2016,Madison,05087,6279,1083,2015,3181,40000,35000
2018,Madison,05087,6195,1029,2045,3121,45000,40000
2019,Madison,05087,6279,1061,2138,3080,45000,40000
2021,Madison,05087,6056,922,2186,2948,50000,45000
2022,Madison,05087,6250,886,2485,2879,58657,48876
2023,Madison,05087,6381,820,2455,3106,59332,50712
2024,Madison,05087,6463,796,2493,3174,62124,51000
2010,Marion,05089,7239,1142,2119,3978,30000,30000
2012,Marion,05089,7200,1203,2344,3653,35000,30000
2014,Marion,05089,6912,1295,2098,3519,35000,30000
2016,Marion,05089,6667,1298,2386,2983,40000,35000
2018,Marion,05089,6669,1425,2076,3168,40000,35000
2019,Marion,05089,6782,1265,2457,3060,45000,35000
2021,Marion,05089,6950,1192,2658,3100,50000,40000
2022,Marion,05089,7140,1232,2795,3113,52626,44259
2023,Marion,05089,7296,1148,2660,3488,51609,46668
2024,Marion,05089,7664,1257,2569,3838,49315,46128
2010,Miller,05091,16586,2702,4418,9466,35000,30000
2012,Miller,05091,16746,3067,4597,9082,35000,35000
2014,Miller,05091,16946,3100,4293,9553,35000,35000
2016,Miller,05091,17003,3297,5060,8646,40000,35000
2018,Miller,05091,16748,3310,5488,7950,45000,40000
2019,Miller,05091,16426,3249,4924,8253,45000,40000
2021,Miller,05091,16240,3134,5315,7791,50000,45000
2022,Miller,05091,15863,3324,5496,7043,57561,49932
2023,Miller,05091,16311,3705,5113,7493,55921,51192
2024,Miller,05091,16359,3856,5196,7307,57157,49704
2010,Mississippi,05093,17105,3694,4081,9330,35000,25000
2012,Mississippi,05093,16962,3961,4169,8832,35000,30000
2014,Mississippi,05093,17188,4133,4369,8686,35000,30000
2016,Mississippi,05093,16835,4086,5033,7716,40000,35000
2018,Mississippi,05093,16888,3813,4819,8256,40000,35000
2019,Mississippi,05093,16389,3689,4243,8457,40000,35000
2021,Mississippi,05093,15565,3052,5096,7417,50000,45000
2022,Mississippi,05093,15005,3074,4526,7405,52511,45826
2023,Mississippi,05093,15381,3303,4014,8064,50369,47584
2024,Mississippi,05093,15452,3496,3881,8075,50819,45357
2010,Monroe,05095,3453,882,846,1725,30000,30000
2012,Monroe,05095,3396,908,1056,1432,35000,30000
2014,Monroe,05095,3374,982,903,1489,35000,30000
2016,Monroe,05095,3306,889,802,1615,35000,30000
2018,Monroe,05095,3326,903,753,1670,35000,35000
2019,Monroe,05095,3333,828,716,1789,35000,30000
2021,Monroe,05095,2816,626,804,1386,45000,35000
2022,Monroe,05095,2826,711,784,1331,51044,37294
2023,Monroe,05095,2819,664,857,1298,49670,39537
2024,Monroe,05095,2790,622,856,1312,51200,38856
2010,Montgomery,05097,3753,799,973,1981,35000,30000
2012,Montgomery,05097,3797,846,1236,1715,40000,30000
2014,Montgomery,05097,3813,789,1171,1853,35000,30000
